"ime","cena","firma","kategorija","prodajalec","popust_procenti","popust_euro"
"DELL LATITUDE 7520 i5-1135G7/16GB/SSD 256GB/15,6""FHD/UMA/LTE/W10Pro prenosni računalnik","1.652,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"M1 Max with 10C CPU 32C GPU, 64GB","4.539,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO IdeaPad Gaming 3 AMD Ryzen 5 6600H/40,6 cm (16"")/ WUXGA/16GB/512GB/RTX3050/DOS Onyx prenosni računalnik siv","1.291,99 €","LENOVO","Gaming prenosniki","Big Bang","0 %","0 €"
"ASUS VivoBook Pro 15 K6502ZC-OLED-MA731X 39,6 cm (15,6"") OLED/WQHD+/Intel Core i7-12700H/16GB/1TB/NVMe GeForce RTX3050 4GB/W11P prenosni računalnik Cool Silver","1.799,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"HP 255 G8 39,6 cm (15,6"")/R3 3250U/8GB/512GB/W10Home prenosni računalnik","524,99 €","HP","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ExpertBook B1 B1500CEAE-BQ3074 prenosni računalnik","839,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"SAMSUNG Galaxy BookPro 15 i5/8GB/512GB/AMOLED/W10H prenosni računalnik","1.099,99 €","SAMSUNG","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ACER Nitro 5 AN515-45-R867 AMD R7-5800H/16GB/SSD 512GB/15,6'' FHD IPS/RTX3080/W10 Home prenosni računalnik črn","2.246,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"DELL Vostro 3400 14''/i3/8GB/256GB/W10P prenosni računalnik","475,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"MBP 14.2 SG/M1PRO/","3.329,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL LATITUDE 7520 i7-1165G7/16GB/SSD 256GB/15,6""FHD/Touch/UMA/W10Pro Naša koda 157135 EAN 3831079997758 Št. proiz. 273600328 prenosni računalnik","1.839,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL LATITUDE 2-V-1 7410 I7-10610U/32GB/SSD512GB/14.0""FHD/TOUCH/UMA/LTE/W10PRO prenosni računalnik","2.381,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ExpertBook B1400CEAE-EK0331R 14''/i5/12GB/1TB/W10H prenosni računalnik","879,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL Latitude 5420 i7-118 14,0""FHD/UMA/W11 Pro prenosni računalnik","1.664,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL Vostro 5515 Ryzen 7 5700U/16GB/SSD 512GB/15,6''FHD/UMA/W11Pro prenosnik","1.199,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"Apple MBP 14.2 Space Grey M1 Pro/10C CPU/16C GPU/1T","2.899,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO IdeaPad 3 15ITL i5-1135G7/12GB5/12GB/Intel Iris XE/W10 Home","883,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"LENOVO ThinkBook G2 i5/8GB/512GB/W10 Home prenosni računalnik","919,99 €","LENOVO","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS TUF Gaming F15 FX506HEB-HN1137W 15,6''/i7/16GB/512GB/W11H prenosni računalnik","1.615,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"ACER NITRO 5 AN517 17,3''/i7/16GB/512GB/W11H prenosni računalnik","1.528,99 €","Acer","Gaming prenosniki","Big Bang","0 %","0 €"
"DELL Latitude 9520 i7-118 15,0""FHD/Touch/UMA/W11Pro","2.516,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS B1500CEAE-EJ0419 15,6''/i3/8GB/512GB/W10P","554,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"M1 Max with 10C","3.599,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ExpertBook B1 B1500CEAE- ASUS BQ0271R i5-1135G7/8GB/SSD 256GB NVMe/15,6''FHD/Intel Iris Xe/W10Pro prenosni računalnik","839,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL LATTITUDE 9420 2V1 i7-1185G7/16GB/SSD 512GB/14,0""QHD+/Touch/UMA/W10Pro prenosni računalnik","2.689,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"DELL Vostro 3500 i5-1135G 8GB/SSD 512GB/ prenosni računalnik","859,99 €","DELL","Poslovni prenosniki","Big Bang","0 %","0 €"
"Apple MBP","3.349,99 €","APPLE","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ExpertBook B1 B1500CEAE-BQ1864 15.6inch FHD IPS Intel Core i5-1135G7 8GB 512GB NVMe Intel UHD Graphics NoOS Star Black prenosni računalnik","829,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS B1500CEAE-EJ0419 15,6''/i3/8GB/256GB/W10P prenosni računalnik","521,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS B1500CEAE-BQ0271R 15,6''/i5/8GB/512GB/W10P prenosni računalnik","760,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"HP Pavilion x360 14-dy1114nm i7-1195G7/35,6 cm (14"")/16GB/512GB/W11 prenosni računalnik","1.099,99 €","HP","Prenosniki za vsakdanjo uporabo","Big Bang","0 %","0 €"
"ASUS ExpertBook B1500CEAE-EJ2953/i5-1135G7/8/256/W10 Pro prenosni računalnik","699,99 €","ASUS","Poslovni prenosniki","Big Bang","0 %","0 €"
"ASUS ROG Strix G15 G513RW HQ131/39,6 cm (15,6"")/R9/16GB/1TB/NoOS prenosni računalnik","2.199,99 €","ASUS","Gaming prenosniki","Big Bang","0 %","0 €"
"ACER Aspire 3 A317-53-77GK 43,9 cm (17,3"") FHD IPS/Intel Core i7-1165G7/16GB/512GB/NVMe Intel Iris Xe/W11H prenosni računalnik silver","1.042,99 €","Acer","Prenosni računalniki","Big Bang","0 %","0 €"
